Park Name,monitor_code,unit_code
Sleeping Bear Dunes NL,SENE1,SLBE
Sunset Crater Volcano NM,SYCA1,SUCR
Tallgrass Prairie N PRES,TALL1,TAPR
Theodore Roosevelt Island Park,WASH1,THIS
Theodore Roosevelt NP,THRO1,THRO
Tonto NM,TONT1,TONT
Tumac‡cori NHP,SAGU1,TUMA
Vietnam Veterans Memorial,WASH1,VIVE
Virgin Islands NP,VIIS1,VIIS
Voyageurs NP,VOYA2,VOYA
Walnut Canyon NM,SYCA1,WACA
Whiskeytown NRA,TRIN1,WHIS
White Sands NM,BOAP1,WHSA
Wilson's Creek NB,HEGL1,WICR
Wind Cave NP,WICA1,WICA
Wright Brothers N MEM,SWAN1,WRBR
Wupatki NM,IKBA1,WUPA
Yellowstone NP,YELL2,YELL
Yosemite NP,YOSE1,YOSE
Zion NP,ZICA1,ZION
President's Park (White House),WASH1,PRPA
